,starcoder2-7b,phi-2,CodeQwen1.5-7B,phi-1_5,phi-1,codegemma-2b,codegemma-7b,deepseek-coder-6.7b-base,deepseek-coder-1.3b-base,granite-3b-code-base,Meta-Llama-3.1-8B,stable-code-3b,starcoder2-3b,granite-8b-code-base,granite-20b-code-base,starcoder2-15b,CodeLlama-7b-hf,deepseek-coder-5.7bmqa-base,Yi-Coder-1.5B,Yi-Coder-9B,CodeLlama-13b-hf,deepseek-coder-7b-base-v1.5
105,variation,code_error,c4-clone,incomplete_generation,code_error,incomplete_generation,variation,incomplete_generation,incomplete_generation,incomplete_generation,variation,variation,incomplete_generation,incomplete_generation,incomplete_generation,variation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,variation,incomplete_generation
106,incomplete_generation,incomplete_generation,incomplete_generation,code_error,incomplete_generation,variation,incomplete_generation,variation,variation,variation,incomplete_generation,variation,incomplete_generation,variation,variation,variation,variation,code_error,incomplete_generation,incomplete_generation,incomplete_generation,incomplete_generation
107,variation,code_error,c2-clone,incomplete_generation,code_error,code_error,code_error,code_error,incomplete_generation,incomplete_generation,incomplete_generation,c4-clone,variation,c4-clone,variation,c4-clone,incomplete_generation,c4-clone,incomplete_generation,c4-clone,c4-clone,c4-clone
108,variation,incomplete_generation,code_error,incomplete_generation,incomplete_generation,code_error,variation,variation,variation,variation,incomplete_generation,variation,code_error,incomplete_generation,variation,code_error,incomplete_generation,variation,variation,code_error,variation,incomplete_generation
109,code_error,code_error,variation,code_error,code_error,variation,variation,variation,variation,variation,code_error,variation,variation,code_error,variation,variation,variation,variation,variation,variation,variation,variation
110,variation,incomplete_generation,variation,code_error,incomplete_generation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,variation,code_error,variation
111,incomplete_generation,incomplete_generation,incomplete_generation,code_error,code_error,variation,variation,incomplete_generation,variation,variation,incomplete_generation,variation,code_error,variation,variation,incomplete_generation,variation,incomplete_generation,variation,code_error,code_error,variation
112,variation,incomplete_generation,variation,variation,code_error,variation,variation,code_error,variation,variation,variation,variation,variation,variation,variation,code_error,variation,variation,variation,variation,variation,c4-clone
113,incomplete_generation,incomplete_generation,variation,incomplete_generation,code_error,variation,variation,variation,variation,code_error,variation,variation,incomplete_generation,variation,variation,variation,variation,variation,variation,variation,variation,variation
114,code_error,incomplete_generation,code_error,variation,code_error,code_error,code_error,code_error,variation,code_error,code_error,code_error,code_error,code_error,code_error,code_error,code_error,variation,variation,code_error,code_error,code_error
